0.0,valid/ABBOTTS BABBLER/1.jpg,ABBOTTS BABBLER,valid,MALACOCINCLA ABBOTTI
0.0,valid/ABBOTTS BABBLER/2.jpg,ABBOTTS BABBLER,valid,MALACOCINCLA ABBOTTI
0.0,valid/ABBOTTS BABBLER/3.jpg,ABBOTTS BABBLER,valid,MALACOCINCLA ABBOTTI
0.0,valid/ABBOTTS BABBLER/4.jpg,ABBOTTS BABBLER,valid,MALACOCINCLA ABBOTTI
0.0,valid/ABBOTTS BABBLER/5.jpg,ABBOTTS BABBLER,valid,MALACOCINCLA ABBOTTI
1.0,valid/ABBOTTS BOOBY/1.jpg,ABBOTTS BOOBY,valid,PAPASULA ABBOTTI
1.0,valid/ABBOTTS BOOBY/2.jpg,ABBOTTS BOOBY,valid,PAPASULA ABBOTTI
1.0,valid/ABBOTTS BOOBY/3.jpg,ABBOTTS BOOBY,valid,PAPASULA ABBOTTI
1.0,valid/ABBOTTS BOOBY/4.jpg,ABBOTTS BOOBY,valid,PAPASULA ABBOTTI
1.0,valid/ABBOTTS BOOBY/5.jpg,ABBOTTS BOOBY,valid,PAPASULA ABBOTTI
2.0,valid/ABYSSINIAN GROUND HORNBILL/5.jpg,ABYSSINIAN GROUND HORNBILL,valid,BUCORVUS ABYSSINICUS
2.0,valid/ABYSSINIAN GROUND HORNBILL/2.jpg,ABYSSINIAN GROUND HORNBILL,valid,BUCORVUS ABYSSINICUS
2.0,valid/ABYSSINIAN GROUND HORNBILL/1.jpg,ABYSSINIAN GROUND HORNBILL,valid,BUCORVUS ABYSSINICUS
2.0,valid/ABYSSINIAN GROUND HORNBILL/4.jpg,ABYSSINIAN GROUND HORNBILL,valid,BUCORVUS ABYSSINICUS
2.0,valid/ABYSSINIAN GROUND HORNBILL/3.jpg,ABYSSINIAN GROUND HORNBILL,valid,BUCORVUS ABYSSINICUS
3.0,valid/AFRICAN CROWNED CRANE/1.jpg,AFRICAN CROWNED CRANE,valid,BALEARICA REGULORUM
3.0,valid/AFRICAN CROWNED CRANE/2.jpg,AFRICAN CROWNED CRANE,valid,BALEARICA REGULORUM
3.0,valid/AFRICAN CROWNED CRANE/3.jpg,AFRICAN CROWNED CRANE,valid,BALEARICA REGULORUM
3.0,valid/AFRICAN CROWNED CRANE/4.jpg,AFRICAN CROWNED CRANE,valid,BALEARICA REGULORUM
3.0,valid/AFRICAN CROWNED CRANE/5.jpg,AFRICAN CROWNED CRANE,valid,BALEARICA REGULORUM
4.0,valid/AFRICAN EMERALD CUCKOO/5.jpg,AFRICAN EMERALD CUCKOO,valid,CHRYSOCOCCYX CUPREUS
